TANK BULKHEAD DATA Group 10; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
49.6446,41.415, 8.4145, 2.6594,40.915,41.915
120.0973,29.3214, 3.35, 2.5465,16.9131,41.415
75.9174,7.3045, 3.35, 3.1698,-4.493,16.9131
120.0972,29.3214, -3.35, 2.5465,16.9131,41.415
47.3085,46.1625, -3.35, 2.5086,41.415,50.9131
33.4238,50.9131, 0, 2.5047,50.4131,51.4131
47.3085,46.1625, 3.35, 2.5086,41.415,50.9131
30.3011,16.9131, 0, 2.7377,16.4131,17.4131
49.6446,41.415, -8.4145, 2.6594,40.915,41.915
0,37.2816, -3.35, 0.01,33.617,41.0593
75.9174,7.3045, -3.35, 3.1698,-4.493,16.9131
