TANK BULKHEAD DATA Group 10; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
68.3931,41.415, 7.9108, 3.7606,40.915,41.915
183.7395,29.1641, 3.35, 3.7495,16.9131,41.415
126.0125,7.4687, 3.35, 4.4313,-4.4895,16.9131
183.7395,29.1641, -3.35, 3.7495,16.9131,41.415
71.226,46.164, -3.35, 3.7495,41.415,50.9131
50.2433,50.9131, 0, 3.7495,50.4131,51.4131
71.226,46.164, 3.35, 3.7495,41.415,50.9131
50.2233,16.9131, 0, 3.751,16.4131,17.4131
68.3931,41.415, -7.9108, 3.7606,40.915,41.915
126.0125,7.4687, -3.35, 4.4313,-4.4895,16.9131
